capacity_gib,concurrency,baseline,task_id,capacity_blocks,n_accesses,elapsed_s,global_block_hit_rate,global_p95_ttft_ms,global_throughput,migrate_ms_total,restore_ms_total,migrate_count,restore_count,fallback_count,n_tasks,task_miss_cost_ms,task_saved_prefill_ms,task_p95_ttft_ms,task_p50_ttft_ms,task_hits,task_misses,task_block_hit_rate,task_n_requests
1,4,gdsf,retail-113,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3229890.9197915345,7312851.743970066,45023.17484468222,7301.6917407512665,59205,23755,0.7136571841851495,233
1,4,gdsf,retail-16,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,2843543.2754503563,4867277.54416503,80905.47704696655,3573.184095323086,40796,19040,0.6817969115582593,176
1,4,gdsf,retail-58,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,18710696.777587757,10876129.155854695,173536.5021508187,14798.347681760788,56127,49707,0.5303305176030387,230
1,4,gdsf,retail-68,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,84308.61577019095,1692814.8805517703,1542.245790362358,495.8716435357928,25597,1297,0.9517736298059046,130
1,4,gdsf,retail-30,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1465863.459320739,4187676.3879461214,43766.59127883613,1508.481189608574,40718,10552,0.794187634094012,171
1,4,gdsf,retail-7,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1744710.3009168059,3560028.443146497,67592.26451069117,1238.1499260663986,36143,11866,0.7528380095398779,164
1,4,gdsf,airline-48,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,158901.673194021,1789291.1284705624,3886.287965811789,684.7557993605733,22485,1863,0.923484475110892,110
1,4,gdsf,airline-22,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,119202.04814709723,1081690.4729800299,4005.517610348761,681.8703543394804,15788,1816,0.8968416269029766,88
1,4,gdsf,airline-29,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,780074.0984613076,2485973.3171211556,23722.379617393017,2366.5385115891695,25836,6660,0.7950516986706057,119
1,4,gdsf,retail-40,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,105738.93452435732,1155364.988273941,4726.710766553879,659.2897735536098,16417,1407,0.9210614901256733,86
1,4,gdsf,retail-65,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3878549.3379198015,4001859.37921796,109900.87073296309,2874.4113445281982,34197,21490,0.6140930558299065,158
1,4,gdsf,airline-42,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,13450089.318743907,14378808.397510089,1749717.3050642014,1842.622334137559,16685,10333,0.6175512621215486,70
1,4,gdsf,airline-25,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,3696399.1692364216,5077986.159681343,90280.1962569356,3441.208340227604,44229,23718,0.6509338160625193,201
1,4,gdsf,airline-12,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,303209.7135744989,1214628.4692166373,7328.352481126785,1274.0547163411975,18016,3652,0.8314565257522614,108
1,4,gdsf,retail-101,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,7980067.705504596,6400771.08099591,200849.65087473392,8185.243374668062,46990,40095,0.5395877590859505,213
1,4,gdsf,retail-111,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,4388841.269996017,5763973.935231566,103576.11149549484,4236.154541373253,48222,25680,0.6525127872046764,207
